Wrong message type,Pesan salah,module,Magento_AdminNotification,,,,
Wrong notification ID specified.,Notifikasi ID salah,module,Magento_AdminNotification,,,,
You have %1 new system message,Anda memiliki %1 sistem pesan baru,module,Magento_AdminNotification,,,,
You have %1 new system messages,You have %1 new system messages,module,Magento_AdminNotification,,,,
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,module,Magento_AdminNotification,,,,
%1 item(s) need your attention.,%1 item-item yang butuh perhatian,module,Magento_AdvancedCheckout,,,,
%1 product requires your attention.,%1 produk memerlukan perhatian anda,module,Magento_AdvancedCheckout,,,,
%1 products require your attention.,%1 produk-produk yang memerlukan perhatian anda,module,Magento_AdvancedCheckout,,,,
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>",module,Magento_AdvancedCheckout,,,,
Action,Tindakan,module,Magento_AdvancedCheckout,,,,
Add Products,Tambah produk,module,Magento_AdvancedCheckout,,,,
Add Products By SKU,Tambah produk berdasarkan SKU,module,Magento_AdvancedCheckout,,,,
Add Products to Order,Tambah produk untuk pesanan ,module,Magento_AdvancedCheckout,,,,
Add Row,Tambahkan baris,module,Magento_AdvancedCheckout,,,,
Add selections to my cart,Tambah pilihan ke tas belanja,module,Magento_AdvancedCheckout,,,,
Add to Cart,Tambah ke tas belanja,module,Magento_AdvancedCheckout,,,,
Add to Order,Tambah ke pesanan,module,Magento_AdvancedCheckout,,,,
Add to Order by SKU,Tambah ke pesanan dengan SKU,module,Magento_AdvancedCheckout,,,,
Add to Shopping Cart,Tambah ke tas belanja,module,Magento_AdvancedCheckout,,,,
Add to Shopping Cart by SKU,Tambah ke tas belanja berdasarkan SKU,module,Magento_AdvancedCheckout,,,,
Alert me when this item is available.,Hubungi saya ketika item ini tersedia,module,Magento_AdvancedCheckout,,,,
An error has occurred. See error log for details.,Error. Lihat error log untuk lebih detil,module,Magento_AdvancedCheckout,,,,
Apply,Terapkan/Masukkan,module,Magento_AdvancedCheckout,,,,
Apply Coupon,Masukkan diskon,module,Magento_AdvancedCheckout,,,,
Apply Coupon Code,Masukkan kode diskon,module,Magento_AdvancedCheckout,,,,
Are you sure you want to clear your cart?,Kamu yakin ingin menghapus seluruh tas belanja?,module,Magento_AdvancedCheckout,,,,
Are you sure you want to remove this item?,Kamu yakin ingin menghapus item ini?,module,Magento_AdvancedCheckout,,,,
Availability: Out of stock.,Ketersediaan:Habis.,module,Magento_AdvancedCheckout,,,,
Back,Kembali,module,Magento_AdvancedCheckout,,,,
Cancel,Batal,module,Magento_AdvancedCheckout,,,,
Clear my shopping cart,Bersihkan tas belanja saya,module,Magento_AdvancedCheckout,,,,
Configure,Konfigurasi,module,Magento_AdvancedCheckout,,,,
Create Order,Buat Order,module,Magento_AdvancedCheckout,,,,
Customer Groups,Grup Customer,module,Magento_AdvancedCheckout,,,,
Customers,Customers,module,Magento_AdvancedCheckout,,,,
